2023-09-22 12:58:21 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2023-09-22 12:58:21 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install libss2:amd64 <none> 1.44.5-1+deb10u3
2023-09-22 12:58:21 status half-installed libss2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 status unpacked libss2:amd64 1.44.5-1+deb10u3
2023-09-22 12:58:21 install findutils:amd64 <none> 4.6.0+git+20190209-2
2023-09-22 12:58:21 status half-installed findutils:amd64 4.6.0+git+20190209-2
2023-09-22 12:58:21 status unpacked findutils:amd64 4.6.0+git+20190209-2
2023-09-22 12:58:21 install gcc-8-base:amd64 <none> 8.3.0-6
2023-09-22 12:58:21 status half-installed gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:21 status unpacked gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:21 install libgcc1:amd64 <none> 1:8.3.0-6
2023-09-22 12:58:21 status half-installed libgcc1:amd64 1:8.3.0-6
2023-09-22 12:58:21 status unpacked libgcc1:amd64 1:8.3.0-6
2023-09-22 12:58:21 install libstdc++6:amd64 <none> 8.3.0-6
2023-09-22 12:58:21 status half-installed libstdc++6:amd64 8.3.0-6
2023-09-22 12:58:22 status unpacked libstdc++6:amd64 8.3.0-6
2023-09-22 12:58:22 install libc-bin:amd64 <none> 2.28-10+deb10u1
2023-09-22 12:58:22 status half-installed libc-bin:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 status unpacked libc-bin:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 upgrade libc6:amd64 2.28-10+deb10u1 2.28-10+deb10u1
2023-09-22 12:58:22 status half-configured libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 status unpacked libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:22 status half-installed libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:24 status unpacked libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:24 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4+deb10u1
2023-09-22 12:58:24 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2023-09-22 12:58:24 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2023-09-22 12:58:24 install gpgv:amd64 <none> 2.2.12-1+deb10u2
2023-09-22 12:58:24 status half-installed gpgv:amd64 2.2.12-1+deb10u2
2023-09-22 12:58:24 status unpacked gpgv:amd64 2.2.12-1+deb10u2
2023-09-22 12:58:24 install libgnutls30:amd64 <none> 3.6.7-4+deb10u8
2023-09-22 12:58:24 status half-installed libgnutls30:amd64 3.6.7-4+deb10u8
2023-09-22 12:58:25 status unpacked libgnutls30:amd64 3.6.7-4+deb10u8
2023-09-22 12:58:25 install grep:amd64 <none> 3.3-1
2023-09-22 12:58:25 status half-installed grep:amd64 3.3-1
2023-09-22 12:58:25 status unpacked grep:amd64 3.3-1
2023-09-22 12:58:25 install gzip:amd64 <none> 1.9-3+deb10u1
2023-09-22 12:58:25 status half-installed gzip:amd64 1.9-3+deb10u1
2023-09-22 12:58:25 status unpacked gzip:amd64 1.9-3+deb10u1
2023-09-22 12:58:25 install hostname:amd64 <none> 3.21
2023-09-22 12:58:25 status half-installed hostname:amd64 3.21
2023-09-22 12:58:25 status unpacked hostname:amd64 3.21
2023-09-22 12:58:25 install init-system-helpers:all <none> 1.56+nmu1
2023-09-22 12:58:25 status half-installed init-system-helpers:all 1.56+nmu1
2023-09-22 12:58:25 status unpacked init-system-helpers:all 1.56+nmu1
2023-09-22 12:58:25 install libcap-ng0:amd64 <none> 0.7.9-2
2023-09-22 12:58:25 status half-installed libcap-ng0:amd64 0.7.9-2
2023-09-22 12:58:25 status unpacked libcap-ng0:amd64 0.7.9-2
2023-09-22 12:58:25 install libffi6:amd64 <none> 3.2.1-9
2023-09-22 12:58:25 status half-installed libffi6:amd64 3.2.1-9
2023-09-22 12:58:25 status unpacked libffi6:amd64 3.2.1-9
2023-09-22 12:58:25 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2023-09-22 12:58:25 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2023-09-22 12:58:26 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2023-09-22 12:58:26 install libgpg-error0:amd64 <none> 1.35-1
2023-09-22 12:58:26 status half-installed libgpg-error0:amd64 1.35-1
2023-09-22 12:58:26 status unpacked libgpg-error0:amd64 1.35-1
2023-09-22 12:58:26 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2023-09-22 12:58:26 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2023-09-22 12:58:26 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2023-09-22 12:58:26 install libseccomp2:amd64 <none> 2.3.3-4
2023-09-22 12:58:26 status half-installed libseccomp2:amd64 2.3.3-4
2023-09-22 12:58:26 status unpacked libseccomp2:amd64 2.3.3-4
2023-09-22 12:58:26 install libselinux1:amd64 <none> 2.8-1+b1
2023-09-22 12:58:26 status half-installed libselinux1:amd64 2.8-1+b1
2023-09-22 12:58:26 status unpacked libselinux1:amd64 2.8-1+b1
2023-09-22 12:58:26 install libsemanage-common:all <none> 2.8-2
2023-09-22 12:58:26 status half-installed libsemanage-common:all 2.8-2
2023-09-22 12:58:26 status unpacked libsemanage-common:all 2.8-2
2023-09-22 12:58:26 install libsemanage1:amd64 <none> 2.8-2
2023-09-22 12:58:26 status half-installed libsemanage1:amd64 2.8-2
2023-09-22 12:58:26 status unpacked libsemanage1:amd64 2.8-2
2023-09-22 12:58:26 install libsepol1:amd64 <none> 2.8-1
2023-09-22 12:58:26 status half-installed libsepol1:amd64 2.8-1
2023-09-22 12:58:27 status unpacked libsepol1:amd64 2.8-1
2023-09-22 12:58:27 install libtasn1-6:amd64 <none> 4.13-3
2023-09-22 12:58:27 status half-installed libtasn1-6:amd64 4.13-3
2023-09-22 12:58:27 status unpacked libtasn1-6:amd64 4.13-3
2023-09-22 12:58:27 install libunistring2:amd64 <none> 0.9.10-1
2023-09-22 12:58:27 status half-installed libunistring2:amd64 0.9.10-1
2023-09-22 12:58:27 status unpacked libunistring2:amd64 0.9.10-1
2023-09-22 12:58:27 install libzstd1:amd64 <none> 1.3.8+dfsg-3+deb10u2
2023-09-22 12:58:27 status half-installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2023-09-22 12:58:27 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2023-09-22 12:58:27 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2023-09-22 12:58:27 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
2023-09-22 12:58:27 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2023-09-22 12:58:27 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2023-09-22 12:58:27 status half-configured mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 status unpacked mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 status half-installed mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 status unpacked mawk:amd64 1.3.3-17+b3
2023-09-22 12:58:27 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2023-09-22 12:58:27 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:27 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2023-09-22 12:58:28 install libhogweed4:amd64 <none> 3.4.1-1+deb10u1
2023-09-22 12:58:28 status half-installed libhogweed4:amd64 3.4.1-1+deb10u1
2023-09-22 12:58:28 status unpacked libhogweed4:amd64 3.4.1-1+deb10u1
2023-09-22 12:58:28 install libnettle6:amd64 <none> 3.4.1-1+deb10u1
2023-09-22 12:58:28 status half-installed libnettle6:amd64 3.4.1-1+deb10u1
2023-09-22 12:58:28 status unpacked libnettle6:amd64 3.4.1-1+deb10u1
2023-09-22 12:58:28 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2023-09-22 12:58:28 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2023-09-22 12:58:28 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2023-09-22 12:58:28 install libpam-modules:amd64 <none> 1.3.1-5
2023-09-22 12:58:28 status half-installed libpam-modules:amd64 1.3.1-5
2023-09-22 12:58:29 status unpacked libpam-modules:amd64 1.3.1-5
2023-09-22 12:58:29 install libpam-modules-bin:amd64 <none> 1.3.1-5
2023-09-22 12:58:29 status half-installed libpam-modules-bin:amd64 1.3.1-5
2023-09-22 12:58:29 status unpacked libpam-modules-bin:amd64 1.3.1-5
2023-09-22 12:58:29 install libpam-runtime:all <none> 1.3.1-5
2023-09-22 12:58:29 status half-installed libpam-runtime:all 1.3.1-5
2023-09-22 12:58:29 status unpacked libpam-runtime:all 1.3.1-5
2023-09-22 12:58:29 install libpam0g:amd64 <none> 1.3.1-5
2023-09-22 12:58:29 status half-installed libpam0g:amd64 1.3.1-5
2023-09-22 12:58:29 status unpacked libpam0g:amd64 1.3.1-5
2023-09-22 12:58:29 install libpcre3:amd64 <none> 2:8.39-12
2023-09-22 12:58:29 status half-installed libpcre3:amd64 2:8.39-12
2023-09-22 12:58:30 status unpacked libpcre3:amd64 2:8.39-12
2023-09-22 12:58:30 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2023-09-22 12:58:30 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:30 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:30 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:30 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2023-09-22 12:58:30 install sed:amd64 <none> 4.7-1
2023-09-22 12:58:30 status half-installed sed:amd64 4.7-1
2023-09-22 12:58:30 status unpacked sed:amd64 4.7-1
2023-09-22 12:58:30 install login:amd64 <none> 1:4.5-1.1
2023-09-22 12:58:30 status half-installed login:amd64 1:4.5-1.1
2023-09-22 12:58:31 status unpacked login:amd64 1:4.5-1.1
2023-09-22 12:58:31 install passwd:amd64 <none> 1:4.5-1.1
2023-09-22 12:58:31 status half-installed passwd:amd64 1:4.5-1.1
2023-09-22 12:58:31 status unpacked passwd:amd64 1:4.5-1.1
2023-09-22 12:58:31 install libsystemd0:amd64 <none> 241-7~deb10u8
2023-09-22 12:58:31 status half-installed libsystemd0:amd64 241-7~deb10u8
2023-09-22 12:58:31 status unpacked libsystemd0:amd64 241-7~deb10u8
2023-09-22 12:58:31 install libudev1:amd64 <none> 241-7~deb10u8
2023-09-22 12:58:31 status half-installed libudev1:amd64 241-7~deb10u8
2023-09-22 12:58:31 status unpacked libudev1:amd64 241-7~deb10u8
2023-09-22 12:58:31 install sysvinit-utils:amd64 <none> 2.93-8
2023-09-22 12:58:31 status half-installed sysvinit-utils:amd64 2.93-8
2023-09-22 12:58:31 status unpacked sysvinit-utils:amd64 2.93-8
2023-09-22 12:58:32 install tar:amd64 <none> 1.30+dfsg-6
2023-09-22 12:58:32 status half-installed tar:amd64 1.30+dfsg-6
2023-09-22 12:58:32 status unpacked tar:amd64 1.30+dfsg-6
2023-09-22 12:58:32 install tzdata:all <none> 2021a-0+deb10u6
2023-09-22 12:58:32 status half-installed tzdata:all 2021a-0+deb10u6
2023-09-22 12:58:32 status unpacked tzdata:all 2021a-0+deb10u6
2023-09-22 12:58:32 install bsdutils:amd64 <none> 1:2.33.1-0.1
2023-09-22 12:58:32 status half-installed bsdutils:amd64 1:2.33.1-0.1
2023-09-22 12:58:32 status unpacked bsdutils:amd64 1:2.33.1-0.1
2023-09-22 12:58:32 install fdisk:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:32 status half-installed fdisk:amd64 2.33.1-0.1
2023-09-22 12:58:32 status unpacked fdisk:amd64 2.33.1-0.1
2023-09-22 12:58:33 install libblkid1:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed libblkid1:amd64 2.33.1-0.1
2023-09-22 12:58:33 status unpacked libblkid1:amd64 2.33.1-0.1
2023-09-22 12:58:33 install libfdisk1:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed libfdisk1:amd64 2.33.1-0.1
2023-09-22 12:58:33 status unpacked libfdisk1:amd64 2.33.1-0.1
2023-09-22 12:58:33 install libmount1:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed libmount1:amd64 2.33.1-0.1
2023-09-22 12:58:33 status unpacked libmount1:amd64 2.33.1-0.1
2023-09-22 12:58:33 install libsmartcols1:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed libsmartcols1:amd64 2.33.1-0.1
2023-09-22 12:58:33 status unpacked libsmartcols1:amd64 2.33.1-0.1
2023-09-22 12:58:33 install libuuid1:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed libuuid1:amd64 2.33.1-0.1
2023-09-22 12:58:33 status unpacked libuuid1:amd64 2.33.1-0.1
2023-09-22 12:58:33 install mount:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed mount:amd64 2.33.1-0.1
2023-09-22 12:58:33 status unpacked mount:amd64 2.33.1-0.1
2023-09-22 12:58:33 install util-linux:amd64 <none> 2.33.1-0.1
2023-09-22 12:58:33 status half-installed util-linux:amd64 2.33.1-0.1
2023-09-22 12:58:34 status unpacked util-linux:amd64 2.33.1-0.1
2023-09-22 12:58:34 install liblzma5:amd64 <none> 5.2.4-1+deb10u1
2023-09-22 12:58:34 status half-installed liblzma5:amd64 5.2.4-1+deb10u1
2023-09-22 12:58:34 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2023-09-22 12:58:34 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1+deb10u1
2023-09-22 12:58:34 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1+deb10u1
2023-09-22 12:58:34 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1+deb10u1
2023-09-22 12:58:34 startup packages configure
2023-09-22 12:58:34 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2023-09-22 12:58:34 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2023-09-22 12:58:34 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2023-09-22 12:58:34 status installed debian-archive-keyring:all 2019.1+deb10u1
2023-09-22 12:58:34 configure libaudit-common:all 1:2.8.4-3 <none>
2023-09-22 12:58:34 status unpacked libaudit-common:all 1:2.8.4-3
2023-09-22 12:58:34 status half-configured libaudit-common:all 1:2.8.4-3
2023-09-22 12:58:34 status installed libaudit-common:all 1:2.8.4-3
2023-09-22 12:58:34 configure libsemanage-common:all 2.8-2 <none>
2023-09-22 12:58:34 status unpacked libsemanage-common:all 2.8-2
2023-09-22 12:58:34 status half-configured libsemanage-common:all 2.8-2
2023-09-22 12:58:34 status installed libsemanage-common:all 2.8-2
2023-09-22 12:58:34 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2023-09-22 12:58:34 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2023-09-22 12:58:34 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2023-09-22 12:58:34 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2023-09-22 12:58:34 configure gcc-8-base:amd64 8.3.0-6 <none>
2023-09-22 12:58:34 status unpacked gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:34 status half-configured gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:34 status installed gcc-8-base:amd64 8.3.0-6
2023-09-22 12:58:34 configure libc6:amd64 2.28-10+deb10u1 <none>
2023-09-22 12:58:34 status unpacked libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:34 status half-configured libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:35 status installed libc6:amd64 2.28-10+deb10u1
2023-09-22 12:58:35 configure libudev1:amd64 241-7~deb10u8 <none>
2023-09-22 12:58:35 status unpacked libudev1:amd64 241-7~deb10u8
2023-09-22 12:58:35 status half-configured libudev1:amd64 241-7~deb10u8
2023-09-22 12:58:35 status installed libudev1:amd64 241-7~deb10u8
2023-09-22 12:58:35 configure libsepol1:amd64 2.8-1 <none>
2023-09-22 12:58:35 status unpacked libsepol1:amd64 2.8-1
2023-09-22 12:58:35 status half-configured libsepol1:amd64 2.8-1
2023-09-22 12:58:35 status installed libsepol1:amd64 2.8-1
2023-09-22 12:58:35 configure libattr1:amd64 1:2.4.48-4 <none>
2023-09-22 12:58:35 status unpacked libattr1:amd64 1:2.4.48-4
2023-09-22 12:58:35 status half-configured libattr1:amd64 1:2.4.48-4
2023-09-22 12:58:35 status installed libattr1:amd64 1:2.4.48-4
2023-09-22 12:58:35 configure libtasn1-6:amd64 4.13-3 <none>
2023-09-22 12:58:35 status unpacked libtasn1-6:amd64 4.13-3
2023-09-22 12:58:35 status half-configured libtasn1-6:amd64 4.13-3
